iter	RMSE
0	8.515124776
1	8.317480301
2	7.718131002
3	7.557545004
4	7.327314449
5	6.843372456
6	6.697078865
7	6.494355183
8	6.211645899
9	6.075210295
10	5.940376189
11	5.835442427
12	5.729566019
13	5.633706453
14	5.519201071
15	5.40798092
16	5.31621512
17	5.19564038
18	5.108054421
19	5.020234941
20	5.000901426
21	4.912884002
22	4.836791588
23	4.781737207
24	4.716391617
25	4.699384395
26	4.635853555
27	4.573725605
28	4.551399483
29	4.475377477
30	4.458727439
31	4.398093025
32	4.381299891
33	4.365719515
34	4.351464674
35	4.301721377
36	4.286867223
37	4.273319688
38	4.222734684
39	4.148760911
40	4.134939789
41	4.0882142
42	4.074572434
43	4.028746128
44	3.967636541
45	3.92372723
46	3.901504134
47	3.884626351
48	3.836752332
49	3.820606467
50	3.806995417
51	3.7698957
52	3.725313569
53	3.709761496
54	3.669166746
55	3.654245913
56	3.638119767
57	3.627668229
58	3.576361192
59	3.538568465
60	3.483623441
61	3.433580249
62	3.391842576
63	3.36860602
64	3.334917182
65	3.295633016
66	3.25420942
67	3.217283538
68	3.197546918
69	3.167869199
70	3.133450872
71	3.123653154
72	3.114178496
73	3.101931763
74	3.071588704
75	3.038476896
76	3.010047305
77	2.983476739
78	2.957589244
79	2.944403645
80	2.910471897
81	2.90258069
82	2.87028
83	2.843146534
84	2.833436103
85	2.809896784
86	2.803497478
87	2.787790392
88	2.781059635
89	2.754449267
90	2.747625235
91	2.723418213
92	2.717651362
93	2.71068852
94	2.705075502
95	2.699473602
96	2.670140777
97	2.636021586
98	2.613633603
99	2.587534885
100	2.567115387
101	2.542462895
102	2.514462771
103	2.488190008
104	2.467092236
105	2.446807301
106	2.437843494
107	2.421590324
108	2.416820862
109	2.396155303
110	2.38402429
111	2.372111595
112	2.350412441
113	2.328219861
114	2.321772919
115	2.304328805
116	2.297276615
117	2.279885196
118	2.262264022
119	2.252318283
120	2.235262739
121	2.225340534
122	2.221302638
123	2.201921309
124	2.192397803
125	2.175377954
126	2.169260191
127	2.150469246
128	2.134284589
129	2.130085725
130	2.114114048
131	2.104922147
132	2.088701166
133	2.070045653
134	2.054278065
135	2.046722682
136	2.030494333
137	2.013831603
138	2.008770784
139	1.991989017
140	1.984439741
141	1.970729581
142	1.955964114
143	1.952177072
144	1.948648088
145	1.930363667
146	1.927726065
147	1.913400532
148	1.90280782
149	1.887906519
150	1.873590738
151	1.862107952
152	1.843077274
153	1.837307531
154	1.824129431
155	1.810252552
156	1.806309729
157	1.803887425
158	1.791057471
159	1.784987066
160	1.779682322
161	1.766774876
162	1.753642346
163	1.74300241
164	1.735536556
165	1.725059479
166	1.721779899
167	1.712434222
168	1.701549944
169	1.685602299
170	1.672668782
171	1.660719248
172	1.649721227
173	1.640435676
174	1.638664066
175	1.630620005
176	1.615431267
177	1.603804414
