iter	Passed	Remaining
0	20	8502
1	85	17602
2	87	11906
3	152	15573
4	162	13231
5	162	11055
6	237	13757
7	240	12160
8	248	11153
9	283	11429
10	361	13225
11	428	14319
12	504	15518
13	570	16245
14	641	17030
15	702	17424
16	776	18077
17	841	18469
18	912	18913
19	978	19229
20	984	18379
21	1050	18676
22	1115	18912
23	1183	19183
24	1256	19493
25	1256	18705
26	1328	18995
27	1399	19241
28	1401	18554
29	1475	18834
30	1475	18186
31	1549	18445
32	1550	17850
33	1553	17312
34	1554	16789
35	1618	16953
36	1619	16458
37	1620	15989
38	1689	16204
39	1754	16360
40	1755	15927
41	1827	16139
42	1833	15777
43	1901	15944
44	1972	16133
45	2044	16310
46	2052	15981
47	2052	15609
48	2122	15768
49	2126	15435
50	2128	15110
51	2191	15216
52	2254	15313
53	2257	15010
54	2323	15126
55	2325	14827
56	2326	14531
57	2330	14267
58	2392	14352
59	2456	14451
60	2559	14769
61	2645	14974
62	2725	15143
63	2763	15067
64	2849	15257
65	2935	15431
66	3005	15523
67	3077	15614
68	3078	15346
69	3111	15245
70	3174	15292
71	3175	15041
72	3176	14795
73	3183	14586
74	3245	14627
75	3300	14633
76	3355	14642
77	3419	14686
78	3482	14723
79	3540	14737
80	3600	14755
81	3600	14534
82	3658	14546
83	3719	14569
84	3722	14362
85	3781	14379
86	3782	14172
87	3842	14191
88	3843	13991
89	3908	14028
90	3910	13836
91	3972	13861
92	3973	13672
93	3974	13486
94	3975	13306
95	3976	13129
96	4037	13151
97	4094	13162
98	4151	13165
99	4210	13178
100	4269	13187
101	4324	13186
102	4382	13190
103	4436	13182
104	4496	13190
105	4554	13190
106	4561	13046
107	4569	12903
108	4569	12744
109	4626	12744
110	4684	12744
111	4699	12628
112	4760	12637
113	4818	12637
114	4820	12491
115	4820	12343
116	4881	12349
117	4944	12361
118	5004	12363
119	5077	12397
120	5140	12404
121	5140	12261
122	5141	12121
123	5207	12136
124	5215	12016
125	5279	12025
126	5282	11895
127	5349	11911
128	5410	11911
129	5411	11781
130	5477	11791
131	5478	11662
132	5541	11665
133	5604	11668
134	5669	11674
135	5669	11547
136	5732	11549
137	5790	11538
138	5848	11528
139	5906	11517
140	5907	11396
141	5970	11395
142	6029	11384
143	6045	11292
144	6047	11176
145	6106	11166
146	6106	11050
147	6164	11037
148	6220	11021
149	6278	11008
150	6338	10997
151	6395	10982
152	6424	10917
153	6426	10808
154	6484	10793
155	6546	10784
156	6550	10681
157	6551	10573
158	6612	10563
159	6614	10459
160	6615	10355
161	6679	10348
162	6740	10338
163	6805	10332
164	6866	10320
165	6927	10307
166	6931	10209
167	6991	10196
168	7049	10178
169	7078	10118
170	7136	10099
171	7192	10078
172	7251	10059
173	7312	10044
174	7313	9946
175	7374	9930
176	7437	9917
177	7497	9898
