BindingDB,Host,Guest,pH,Temp,SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumAtoms,Formal Charge,SlogP (#1),SMR (#1),LabuteASA (#1),TPSA (#1),AMW (#1),NumLipinskiHBA (#1),NumLipinskiHBD (#1),NumRotatableBonds (#1),NumAtoms (#1),delta_g0
3539_16,BDBM4,BDBM23432,6.9,25.0,1.0968,38.383,62.24960168084557,40.13,143.20600000000002,2.0,0.0,6.0,25.0,-1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-19.5
3540_44,BDBM4,BDBM36142,6.9,25.0,1.5888,41.13109999999999,58.63373652561853,27.64,130.255,1.0,3.0,6.0,29.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-19.27
3540_43,BDBM4,BDBM36202,6.9,25.0,1.5872,41.10909999999999,58.633736525618524,27.64,130.255,1.0,3.0,5.0,29.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-17.43
3540_41,BDBM4,BDBM36141,6.9,25.0,1.1987,36.51409999999998,52.268794411221904,27.64,116.228,1.0,3.0,5.0,26.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-17.31
3539_8,BDBM4,BDBM9,6.9,25.0,1.5590000000000002,31.22779999999998,45.35819535200859,20.23,102.177,1.0,1.0,4.0,21.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-16.85
3535_3,BDBM4,BDBM36148,7.2,25.0,1.1321999999999994,52.65900000000002,81.79870773226516,40.13,185.202,2.0,0.0,2.0,23.0,-1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-16.79
3540_32,BDBM4,BDBM50240408,6.9,25.0,0.7066999999999999,33.765999999999984,55.884659566448974,40.13,129.179,2.0,0.0,5.0,22.0,-1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-16.7
3529_12,BDBM4,BDBM36016,6.9,24.85,-0.6168000000000002,63.86120000000007,107.1518086004608,99.38,264.318,6.0,4.0,7.0,42.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-16.69
3536_27,BDBM4,BDBM36163,6.9,25.0,1.9475,35.822799999999994,51.7231374664052,20.23,116.20399999999998,1.0,1.0,4.0,24.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-16.5
3536_28,BDBM4,BDBM36164,6.9,25.0,1.9475,35.822799999999994,51.7231374664052,20.23,116.20399999999998,1.0,1.0,4.0,24.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-16.4
3540_42,BDBM4,BDBM36187,6.9,25.0,1.1971,36.49209999999998,52.2687944112219,27.64,116.228,1.0,3.0,4.0,26.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-15.08
3540_33,BDBM4,BDBM36197,6.9,25.0,0.4826999999999997,33.67199999999999,55.195056534264715,40.13,127.163,2.0,0.0,5.0,20.0,-1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-15.05
3539_14,BDBM4,BDBM36140,6.9,25.0,0.8086000000000002,31.89709999999999,45.90385229682529,27.64,102.201,1.0,3.0,4.0,23.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-14.98
3540_40,BDBM4,BDBM36201,6.9,25.0,0.7599000000000001,36.85839999999999,52.47876589781723,16.61,116.228,1.0,2.0,5.0,26.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-14.71
3535_1,BDBM4,BDBM36146,7.2,25.0,1.7439000000000002,51.91120000000002,81.7417036612728,57.2,207.23,3.0,0.0,1.0,21.0,-1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-14.61
3536_26,BDBM4,BDBM36160,6.9,25.0,1.5574,31.205799999999986,45.3581953520086,20.23,102.17699999999998,1.0,1.0,3.0,21.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-14.6
3536_24,BDBM4,BDBM36162,6.9,25.0,1.5574,31.205799999999986,45.3581953520086,20.23,102.17699999999998,1.0,1.0,3.0,21.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-14.5
3539_10,BDBM4,BDBM36174,6.9,25.0,0.3166,29.148999999999987,49.519717452052355,40.13,115.152,2.0,0.0,4.0,19.0,-1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-14.44
3539_6,BDBM4,BDBM22603,6.9,25.0,1.1689,26.61079999999999,38.99325323761199,20.23,88.14999999999998,1.0,1.0,3.0,18.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-14.16
3540_30,BDBM4,BDBM36195,6.9,25.0,0.09260000000000003,29.05499999999999,48.83011441986811,40.13,113.13599999999998,2.0,0.0,3.0,17.0,-1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-13.99
3540_48,BDBM4,BDBM36194,6.9,25.0,2.0916,38.3258,57.0822484272726,20.23,128.215,1.0,1.0,0.0,25.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-13.5
