,pH,Temp (C),SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,HOST_SlogP,HOST_SMR,HOST_LabuteASA,HOST_TPSA,HOST_AMW,HOST_NumLipinskiHBA,HOST_NumLipinskiHBD,HOST_NumRotatableBonds
count,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0,432.0
mean,7.1641203703704255,25.8332175925926,1.233760879629631,68.80799953703715,109.48059118890444,64.74511574074064,259.8850092592595,4.516203703703703,1.6157407407407407,8.055555555555555,-11.539121342592582,256.8255636574053,477.0934125383822,518.8083333333301,1227.1075300925997,37.074074074074076,16.662037037037038,7.099537037037037
std,0.7922095532096355,4.631994510981145,1.4159063493340986,148.53691296418975,243.76938187241657,128.48448278473168,600.8673629851842,13.657212688119236,1.5948095646433407,40.01590944246229,8.533240211115746,56.315100739592474,87.63223296042948,104.90144589476371,205.97113369220835,6.194756713673239,9.02415647122691,4.212102744467134
min,6.1,4.85,-4.756,0.0,23.78338227429922,0.0,58.085,0.0,0.0,0.0,-23.6992,195.80039999999968,372.1301572506171,329.7,972.8460000000013,28.0,0.0,0.0
25%,6.9,25.0,0.36909999999999976,34.6588,53.704124215596465,20.23,128.204,1.0,0.0,0.0,-15.981000000000027,228.4337999999996,433.9237704990695,474.90000000000015,1134.9870000000014,35.0,18.0,6.0
50%,6.9,25.0,1.2503999999999995,44.23600000000002,68.80630150253657,40.13,154.265,2.0,1.0,3.0,-13.802800000000035,248.2059999999996,467.11024450675467,554.0500000000002,1162.9799999999989,35.0,21.0,7.0
75%,7.2,25.0,2.1935,57.37622500000001,92.71748757956762,67.13,223.228,4.0,3.0,5.0,-12.381400000000026,261.0671999999995,495.7173837475217,561.4600000000003,1297.1280000000015,40.0,23.0,8.0
max,11.5,45.0,5.954000000000006,1309.6657000000105,2148.7733207791102,1112.9200000000014,5293.3139999999985,119.0,10.0,344.0,21.48527999999998,455.52040000000153,760.9956036996472,909.3400000000006,2005.9320000000025,58.0,34.0,20.0
skewness,4.440553689393019,1.9952726722790848,-0.1789352525568374,7.9596234425963885,7.990203870212206,7.2526611443130315,8.004292164532304,7.923110207597232,1.1889642793177295,8.218718849253737,2.6426317168699285,2.12070888171595,1.8497599025554856,0.628827681599766,1.9959533571721493,1.2780724473289464,-0.9500905974017146,0.4704534363292024
kurtosis,22.74446088924325,12.300800427249658,5.323253428408606,66.18373970049747,66.5181602062714,58.420107974377125,66.67326066065004,65.77480507338989,4.520520013688357,69.04055894394172,10.190383105268547,7.494535193002161,6.5350006144301185,5.2822681767180235,7.716357524683272,4.366625226413889,2.614961995476332,4.475557375917787
