,pH,Temp (C),SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,HOST_SlogP,HOST_SMR,HOST_LabuteASA,HOST_TPSA,HOST_AMW,HOST_NumLipinskiHBA,HOST_NumLipinskiHBD,HOST_NumRotatableBonds
count,432.0,432.0,432.0,432.0,426.0,406.0,21.0,424.0,432.0,432.0,411.0,399.0,399.0,432.0,399.0,432.0,432.0,432.0
mean,7.1641203703704255,25.8332175925926,1.233760879629631,68.80799953703715,80.95315148859696,52.66465517241362,81.85257142857142,2.936320754716981,1.6157407407407407,8.055555555555555,-13.181474695863697,242.48831453633895,455.4663176699665,518.8083333333301,1176.6988596491274,37.074074074074076,16.662037037037038,7.099537037037037
std,0.7922095532096355,4.631994510981145,1.4159063493340986,148.53691296418975,39.09196633214342,37.36797346978854,9.472440433021623,2.41512210870309,1.5948095646433407,40.01590944246229,4.572388206262978,26.679234192389327,46.39377652259169,104.90144589476371,106.54287020803467,6.194756713673239,9.02415647122691,4.212102744467134
min,6.1,4.85,-4.756,0.0,23.78338227429922,6.25,58.085,1.0,0.0,0.0,-23.6992,195.80039999999968,372.1301572506171,329.7,972.8460000000013,28.0,0.0,0.0
25%,6.9,25.0,0.36909999999999976,34.6588,53.704124215596465,20.23,74.12299999999998,1.0,0.0,0.0,-15.981000000000027,228.4337999999996,433.9237704990695,474.90000000000015,1134.9870000000014,35.0,18.0,6.0
50%,6.9,25.0,1.2503999999999995,44.23600000000002,68.5762143981803,40.13,86.134,2.0,1.0,3.0,-15.23060000000003,229.10309999999959,434.4694274438861,554.0500000000002,1135.0110000000013,35.0,21.0,7.0
75%,7.2,25.0,2.1935,57.37622500000001,92.71748757956762,68.53,88.14999999999998,4.0,3.0,5.0,-13.054800000000027,261.0671999999995,484.62087414908063,561.4600000000003,1273.0315000000014,40.0,23.0,8.0
max,11.5,45.0,5.954000000000006,1309.6657000000105,205.2700070636171,162.26000000000005,88.17399999999999,10.0,10.0,344.0,2.7206000000000063,283.6640000000002,533.6447826134475,909.3400000000006,1329.119999999999,58.0,34.0,20.0
skewness,4.440553689393019,1.9952726722790848,-0.1789352525568374,7.9596234425963885,1.297103562948262,1.3382702391173658,-1.5859495815967397,1.4194898745001956,1.1889642793177295,8.218718849253737,1.3515013078962475,-0.08156559408743058,-0.06186301430248481,0.628827681599766,-0.33968365906107495,1.2780724473289464,-0.9500905974017146,0.4704534363292024
kurtosis,22.74446088924325,12.300800427249658,5.323253428408606,66.18373970049747,3.75799149742923,4.066210394880256,4.345012363187483,4.134004025257105,4.520520013688357,69.04055894394172,5.491276924723317,2.1751563086865713,2.4853025508916753,5.2822681767180235,2.490334623230541,4.366625226413889,2.614961995476332,4.475557375917787
