,pH,Temp (C),SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,HOST_SlogP,HOST_SMR,HOST_LabuteASA,HOST_TPSA,HOST_AMW,HOST_NumLipinskiHBA,HOST_NumLipinskiHBD,HOST_NumRotatableBonds
count,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0
mean,7.008900523560267,25.627225130890064,1.2889962303664946,72.78605235602107,115.78856414036973,67.93212041884804,275.1843507853406,4.837696335078534,1.6701570680628273,8.75916230366492,-13.090333769633489,249.82360497382024,468.54304492516894,522.5786649214633,1210.692591623041,37.667539267015705,16.892670157068064,6.649214659685864
std,0.1578209409300645,2.2664834293536726,1.452721128231401,157.52329665280345,258.5631140001334,136.10496749322536,637.3537592598257,14.489378603549321,1.6171974320780944,42.50600831180828,4.720463297465076,38.6216540426596,68.70616316456625,109.65165429344417,174.5148773601767,6.314333460648089,9.3233823231385,3.932165880971976
min,6.9,24.85,-4.756,0.0,23.78338227429922,0.0,58.085,0.0,0.0,0.0,-23.6992,195.80039999999968,372.1301572506171,329.7,972.8460000000013,28.0,0.0,0.0
25%,6.9,25.0,0.38104999999999967,35.5095,55.501178045302886,20.23,128.221,1.0,1.0,0.0,-15.981000000000027,228.4337999999996,433.9237704990695,474.90000000000015,1134.9870000000014,35.0,18.0,6.0
50%,6.9,25.0,1.2514999999999992,44.95200000000003,69.52674680148874,40.13,160.172,2.0,1.0,3.0,-15.23060000000003,248.2059999999996,467.11024450675467,554.0500000000002,1162.9799999999989,35.0,21.0,7.0
75%,7.0,25.0,2.1935,66.36552500000002,101.07196601937751,73.00999999999999,232.697,4.0,3.0,6.0,-12.490500000000026,261.0671999999995,495.7173837475217,561.4600000000003,1297.1280000000015,40.0,23.0,8.0
max,7.4,35.05,5.954000000000006,1309.6657000000105,2148.7733207791102,1112.9200000000014,5293.3139999999985,119.0,10.0,344.0,2.7206000000000063,413.0896000000007,760.9956036996472,909.3400000000006,2005.9320000000025,58.0,34.0,20.0
skewness,1.341389208315078,3.6530720386436295,-0.20210806562883635,7.475813138234553,7.503270479547088,6.835028905987165,7.517033210885394,7.441020023074554,1.1953515285140859,7.708963809852009,1.2681912074318276,2.009890814909112,2.152636220099861,0.5361243570718426,2.642523021565383,1.1568161352307826,-1.0105059290136558,0.3604176598572729
kurtosis,3.5481221369038525,14.954714665070608,5.244892126665306,58.449596508208685,58.729858827831755,51.85407812219511,58.87111347499032,58.08354550633465,4.554148955075065,60.8518099336482,5.100545651303743,9.806515078992161,10.49301784165231,4.913913084694984,13.370956272101257,4.015378491497588,2.6493370932357068,5.303493439478381
