,pH,Temp (C),SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,HOST_SlogP,HOST_SMR,HOST_LabuteASA,HOST_TPSA,HOST_AMW,HOST_NumLipinskiHBA,HOST_NumLipinskiHBD,HOST_NumRotatableBonds
count,357.0,357.0,357.0,357.0,351.0,340.0,18.0,349.0,357.0,357.0,357.0,345.0,345.0,357.0,345.0,357.0,357.0,357.0
mean,7.013445378151318,25.05252100840336,1.2598884033613469,74.42149243697494,84.25054768950363,55.045617647058634,80.79899999999999,3.160458452722063,1.6974789915966386,9.07563025210084,-12.990915126050435,246.65536028985355,462.5900553041023,522.296218487393,1193.1025507246395,37.98039215686274,16.66386554621849,6.649859943977591
std,0.16176225953292167,0.357121494026344,1.4592468494648252,162.75422749117666,41.41614891649578,39.62205300433276,9.865808299970393,2.566928442379646,1.6364250319190075,43.94330355035999,4.858984685697014,25.58508957269021,44.39914292800067,112.96283630691413,100.79289811313369,6.384862440578233,9.592785190559031,4.065901123566747
min,6.9,24.85,-4.756,0.0,23.78338227429922,6.25,58.085,1.0,0.0,0.0,-23.6992,195.80039999999968,372.1301572506171,329.7,972.8460000000013,28.0,0.0,0.0
25%,6.9,25.0,0.36909999999999976,35.5095,55.501178045302886,20.23,74.12299999999998,1.0,1.0,0.0,-15.981000000000027,228.4337999999996,433.9237704990695,474.90000000000015,1134.9870000000014,35.0,18.0,6.0
50%,6.9,25.0,1.2511999999999996,44.95200000000003,68.80630150253657,40.46,86.134,2.0,1.0,2.0,-15.23060000000003,248.2059999999996,467.11024450675467,554.0500000000002,1162.9799999999989,35.0,21.0,7.0
75%,7.2,25.0,2.1935,67.9689,94.32951364791882,75.63000000000002,86.134,4.0,3.0,6.0,-12.381400000000026,261.0671999999995,495.7173837475217,561.4600000000003,1297.1280000000015,40.0,23.0,8.0
max,7.4,27.0,5.954000000000006,1309.6657000000105,205.2700070636171,162.26000000000005,88.17399999999999,10.0,10.0,344.0,2.7206000000000063,283.6640000000002,533.6447826134475,909.3400000000006,1329.119999999999,58.0,34.0,20.0
skewness,1.2609050806532682,5.065375489265526,-0.22583736001311713,7.224875167690046,1.1167624909198737,1.1799881437071948,-1.375128282537835,1.209813521549383,1.1972100127520267,7.446205905736967,1.187659033561953,-0.2138843492891262,-0.15277440825912153,0.533084608069158,-0.4449394177090114,1.0973918718107694,-0.9262992005641965,0.3485335565056899
kurtosis,3.286390937127248,27.16979157911633,5.3470661381775475,54.61024145182977,3.1811733288347037,3.5065150801152045,3.6719753383070657,3.4361336987398854,4.522213939777442,56.808995976049125,4.76120269917758,2.268680118701323,2.606853924055255,4.673973261721261,2.7013261298491806,3.8274184326081553,2.4360629276649672,4.965875930045849
