,pH,Temp (C),SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,HOST_SlogP,HOST_SMR,HOST_LabuteASA,HOST_TPSA,HOST_AMW,HOST_NumLipinskiHBA,HOST_NumLipinskiHBD,HOST_NumRotatableBonds,outlier
0,7.4,24.85,-0.8295999999999994,39.6262,60.841068742315606,55.28,138.214,2.0,6.0,2.0,2.7206000000000063,281.06679999999994,471.4527544662169,359.92,1217.3019999999992,28.0,0.0,20.0,"['HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
1,7.4,24.85,-1.7495999999999985,24.7442,38.513858765044816,55.28,90.17000000000002,2.0,6.0,3.0,2.7206000000000063,281.06679999999994,471.4527544662169,359.92,1217.3019999999992,28.0,0.0,20.0,"['HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
2,7.4,24.85,-3.842599999999996,57.29700000000002,87.80323581864053,88.5,206.378,4.0,10.0,11.0,2.7206000000000063,281.06679999999994,471.4527544662169,359.92,1217.3019999999992,28.0,0.0,20.0,"['SlogP', 'NumLipinskiHBD', 'HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
3,7.4,24.85,1.9715,66.8345,92.69416155793932,66.18,210.26,3.0,5.0,0.0,2.7206000000000063,281.06679999999994,471.4527544662169,359.92,1217.3019999999992,28.0,0.0,20.0,"['HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
4,7.4,24.85,2.9391000000000007,86.66370000000006,118.99381596190706,20.620000000000005,266.368,3.0,1.0,2.0,2.7206000000000063,281.06679999999994,471.4527544662169,359.92,1217.3019999999992,28.0,0.0,20.0,"['HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
5,7.4,24.85,-2.645399999999994,117.74740000000007,171.39995318567654,87.02000000000002,410.47400000000016,8.0,2.0,6.0,2.7206000000000063,281.06679999999994,471.4527544662169,359.92,1217.3019999999992,28.0,0.0,20.0,"['SlogP', 'SMR', 'AMW', 'HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
6,7.4,24.85,-2.654399999999997,101.64000000000006,165.0619133209561,158.39999999999995,408.3220000000003,10.0,0.0,6.0,2.7206000000000063,281.06679999999994,471.4527544662169,359.92,1217.3019999999992,28.0,0.0,20.0,"['SlogP', 'AMW', 'HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
7,7.4,24.85,5.954000000000006,127.09640000000003,175.7531164340869,6.25,385.57500000000016,2.0,0.0,7.0,2.7206000000000063,281.06679999999994,471.4527544662169,359.92,1217.3019999999992,28.0,0.0,20.0,"['SlogP', 'SMR', 'LabuteASA', 'HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
8,7.4,24.85,1.59012,78.98210000000003,111.12849371198277,57.71,253.329,4.0,3.0,0.0,2.7206000000000063,281.06679999999994,471.4527544662169,359.92,1217.3019999999992,28.0,0.0,20.0,"['HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
9,7.4,24.85,2.498900000000001,87.68600000000004,122.34458164896726,19.14,284.408,3.0,0.0,1.0,2.7206000000000063,281.06679999999994,471.4527544662169,359.92,1217.3019999999992,28.0,0.0,20.0,"['HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
10,7.4,24.85,-0.8295999999999994,39.6262,60.841068742315606,55.28,138.214,2.0,6.0,2.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
11,7.4,24.85,0.2744000000000001,27.2101,39.53891018242869,27.64,88.17399999999999,1.0,3.0,0.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
12,7.4,24.85,-0.21900000000000025,33.30889999999999,50.69808604902132,47.87000000000001,118.2,2.0,4.0,5.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
13,7.4,24.85,-0.9693999999999984,33.978199999999994,51.243742993838026,55.28,118.22400000000002,2.0,6.0,5.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
14,7.4,24.85,-1.218599999999999,31.8202,50.23791184030878,55.28,116.208,2.0,6.0,0.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
15,7.4,24.85,-0.4682000000000004,31.150899999999996,49.6922548954921,47.87000000000001,116.18399999999998,2.0,4.0,0.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
