,pH,Temp,SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumAtoms,Formal Charge,SlogP (#1),SMR (#1),LabuteASA (#1),TPSA (#1),AMW (#1),NumLipinskiHBA (#1),NumLipinskiHBD (#1),NumRotatableBonds (#1),NumAtoms (#1)
count,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
mean,6.912499999999991,24.896527777777763,0.7077808333333331,39.74905416666668,61.96207065973988,42.433888888888895,144.26801388888887,2.25,1.9583333333333333,3.0555555555555554,23.583333333333332,0.19444444444444445,-13.054800000000007,195.80039999999997,372.1301572506166,474.9000000000008,972.8459999999998,30.0,18.0,6.0,126.0
std,0.060368586178434595,0.5061819517047328,0.6902127534619665,17.33892447687084,29.21533027437424,31.6958310919149,73.53930818764967,1.9911777249643905,1.495886378151104,2.219560220930016,7.960731086817321,0.7624809189741653,1.967704919805921e-14,2.8621162469904306e-13,5.151809244582774e-13,6.296655743378947e-13,1.4883004484350236e-12,0.0,0.0,0.0,0.0
min,6.9,20.7,-1.1347000000000005,17.354800000000004,26.26336900881877,16.61,60.096,1.0,0.0,0.0,12.0,-2.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0
25%,6.9,24.85,0.3017000000000001,27.975099999999987,43.57843324415929,20.23,100.884,1.0,1.0,2.0,18.75,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0
50%,6.9,25.0,0.6022000000000001,36.503099999999975,53.836911216040974,36.84,119.20949999999998,2.0,2.0,3.0,22.5,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0
75%,6.9,25.0,1.19965,48.71320000000003,73.23526751288745,41.87,166.24400000000003,2.0,3.0,4.0,26.25,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0
max,7.2,25.0,2.0916,111.79780000000004,183.37997772301316,162.26000000000005,444.44000000000017,10.0,5.0,11.0,56.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0
skewness,4.587317109255727,-8.076363872255202,-0.07678027048295372,2.062520886500393,2.1851143042432417,2.1289780119955695,2.1954028945682706,2.302777490200184,0.22399984427813263,1.2370457857007313,1.96283898907252,-0.5313855825851134,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
kurtosis,22.043478260870064,67.47730784573592,2.5835585139769117,9.124363806306881,9.263801628923677,7.434115867187528,8.859640719035166,8.201448722114781,1.980059315072479,5.825930503464009,8.784677338363128,2.512206344002072,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
