,pH,Temp,SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumAtoms,Formal Charge,SlogP (#1),SMR (#1),LabuteASA (#1),TPSA (#1),AMW (#1),NumLipinskiHBA (#1),NumLipinskiHBD (#1),NumRotatableBonds (#1),NumAtoms (#1)
count,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0
mean,6.933962264150935,24.981132075471688,0.623343144654088,46.083303773584966,75.08992641825449,52.458301886792434,179.99944654088054,2.9056603773584904,1.3333333333333333,2.6037735849056602,25.62264150943396,-0.33962264150943394,-15.230600000000022,228.4337999999991,433.9237704990681,554.0500000000017,1134.9870000000017,35.0,21.0,7.0,147.0
std,0.09535422878268128,0.04989839210107582,1.04374627622417,18.90790878290134,31.772701760764125,33.03846540723782,79.14749848255583,1.9512814771103062,1.3901400834005149,2.03145787870896,10.440112059442134,0.8406611975727029,7.127877420990393e-15,4.846956646273467e-13,1.4255754841980787e-12,1.4825985035660018e-12,2.280920774716926e-13,0.0,0.0,0.0,0.0
min,6.9,24.85,-4.756,0.0,23.78338227429922,0.0,58.085,0.0,0.0,0.0,3.0,-3.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0
25%,6.9,25.0,0.05064999999999992,36.408800000000014,58.130820948853916,27.64,136.71200000000002,1.0,0.0,1.0,21.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0
50%,6.9,25.0,0.6480000000000004,44.48100000000003,70.59553054443344,40.46,165.16799999999995,2.0,1.0,2.0,24.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0
75%,6.9,25.0,1.1970999999999996,51.458150000000025,83.34409769703055,69.22999999999999,204.202,4.0,2.0,4.0,28.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0
max,7.2,25.0,4.342400000000004,129.97530000000006,209.56220082390828,171.59999999999997,514.7050000000003,10.0,5.0,11.0,79.0,1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0
skewness,2.4415144701192464,-2.2569636443871866,-0.4704273945868576,1.8354105658491526,1.8540416342968837,1.2864182381444655,1.7914185720293538,1.3787751140413234,0.921200805398646,1.2510870525121642,2.490022889684672,-0.06416678530778731,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
kurtosis,6.96099290780158,6.093884892085773,7.316244124525785,8.406127226687612,7.6855526845278685,4.832699439080207,7.006385951686042,5.015398570098885,2.9978690337712854,5.888386398740097,12.468383511465827,2.683812429895514,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
