,pH,Temp,SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumAtoms,Formal Charge,SlogP (#1),SMR (#1),LabuteASA (#1),TPSA (#1),AMW (#1),NumLipinskiHBA (#1),NumLipinskiHBD (#1),NumRotatableBonds (#1),NumAtoms (#1),outlier
7,7.2,25.0,4.342400000000004,76.09040000000007,107.40508397472617,0.0,235.415,1.0,0.0,9.0,46.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,"['SlogP', 'SMR', 'NumRotatableBonds', 'NumAtoms']"
9,7.2,25.0,3.143200000000001,106.01860000000006,169.6538184014664,80.59,391.5720000000002,4.0,2.0,4.0,67.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,"['SlogP', 'SMR', 'LabuteASA', 'AMW', 'NumAtoms']"
12,7.2,25.0,2.113999999999998,107.40840000000007,174.44805215366245,100.82,407.57100000000014,5.0,3.0,4.0,68.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,"['SMR', 'LabuteASA', 'AMW', 'NumAtoms']"
13,6.9,25.0,1.3004000000000002,61.22420000000003,103.6697734660663,74.27,310.189,4.0,0.0,2.0,30.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,['AMW']
14,6.9,25.0,1.3004000000000002,61.22420000000003,103.6697734660663,74.27,310.189,4.0,0.0,2.0,30.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,['AMW']
19,7.2,25.0,1.2302000000000004,120.41810000000008,196.88932066610744,129.92,464.62300000000033,7.0,4.0,6.0,75.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,"['SMR', 'LabuteASA', 'AMW', 'NumAtoms']"
22,7.2,25.0,2.0255,129.97530000000006,209.56220082390828,146.98999999999995,514.7050000000003,8.0,4.0,7.0,79.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,"['SMR', 'LabuteASA', 'TPSA', 'AMW', 'NumAtoms']"
65,7.2,25.0,-0.4478999999999995,67.83760000000001,124.99897568135404,171.59999999999997,365.34200000000016,9.0,0.0,3.0,27.0,-3.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,"['LabuteASA', 'TPSA', 'AMW', 'NumLipinskiHBA', 'Formal Charge']"
79,6.9,25.0,1.6638999999999995,111.79780000000004,183.37997772301316,162.26000000000005,444.44000000000017,10.0,5.0,11.0,56.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,"['SMR', 'LabuteASA', 'TPSA', 'AMW', 'NumLipinskiHBA', 'NumRotatableBonds', 'NumAtoms']"
84,6.9,25.0,-0.44576000000000016,90.77900000000004,159.86968060431468,132.86,384.34000000000015,8.0,0.0,7.0,44.0,-2.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,"['SMR', 'LabuteASA', 'TPSA', 'AMW', 'NumAtoms']"
86,6.9,25.0,3.3824,13.568000000000005,34.355936634923424,0.0,144.96200000000005,0.0,0.0,0.0,7.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,"['SlogP', 'SMR', 'NumAtoms']"
87,6.9,25.0,1.6638999999999995,111.79780000000004,183.37997772301316,162.26000000000005,444.44000000000017,10.0,5.0,11.0,56.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,"['SMR', 'LabuteASA', 'TPSA', 'AMW', 'NumLipinskiHBA', 'NumRotatableBonds', 'NumAtoms']"
89,6.9,25.0,-0.44576000000000016,90.77900000000004,159.86968060431468,132.86,384.34000000000015,8.0,0.0,7.0,44.0,-2.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,"['SMR', 'LabuteASA', 'TPSA', 'AMW', 'NumAtoms']"
128,6.9,25.0,-1.0626000000000009,81.30500000000005,147.13979637552146,132.86,356.28600000000006,8.0,0.0,7.0,38.0,-2.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,"['SMR', 'LabuteASA', 'TPSA', 'AMW']"
136,6.9,25.0,-1.0626000000000009,81.30500000000005,147.13979637552146,132.86,356.28600000000006,8.0,0.0,7.0,38.0,-2.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,"['SMR', 'LabuteASA', 'TPSA', 'AMW']"
143,6.9,25.0,-4.756,0.0,30.011902189189602,92.24,99.449,4.0,0.0,0.0,5.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,"['SlogP', 'SMR', 'NumAtoms']"
156,6.9,25.0,0.6586000000000001,15.957,23.78338227429922,22.3,58.085,1.0,0.0,0.0,3.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,['NumAtoms']
