,pH,Temp,SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumAtoms,Formal Charge,SlogP (#1),SMR (#1),LabuteASA (#1),TPSA (#1),AMW (#1),NumLipinskiHBA (#1),NumLipinskiHBD (#1),NumRotatableBonds (#1),NumAtoms (#1),delta_g0
0,7.2,25.0,1.7439000000000002,51.91120000000002,81.7417036612728,57.2,207.23,3.0,0.0,1.0,21.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-30.69
3,7.2,25.0,1.1321999999999994,52.65900000000002,81.79870773226516,40.13,185.202,2.0,0.0,2.0,23.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-24.83
4,7.2,25.0,2.1935,45.23580000000002,68.80630150253657,20.23,154.253,1.0,1.0,0.0,29.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-24.52
5,7.2,25.0,2.1935,45.23580000000002,68.80630150253657,20.23,154.253,1.0,1.0,0.0,29.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-24.38
6,7.2,25.0,2.401700000000001,44.23600000000002,68.17358985038433,17.07,152.237,1.0,0.0,0.0,27.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-22.36
8,6.9,25.0,1.1643,46.62560000000003,73.60053525473258,40.46,170.25199999999995,2.0,2.0,0.0,30.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-21.74
9,6.9,25.0,1.1643,46.62560000000003,73.60053525473258,40.46,170.25199999999995,2.0,2.0,0.0,30.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-21.71
10,7.2,25.0,4.342400000000004,76.09040000000007,107.40508397472617,0.0,235.415,1.0,0.0,9.0,46.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-21.17
11,7.2,25.0,2.401700000000001,44.23600000000002,68.17358985038433,17.07,152.237,1.0,0.0,0.0,27.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-21.11
12,7.2,25.0,3.143200000000001,106.01860000000006,169.6538184014664,80.59,391.5720000000002,4.0,2.0,4.0,67.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-21.03
